,Lista/Pacto,Partido,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,4.0,"9,76%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,1.0,"2,44%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
50,CANDIDATURA INDEPENDIENTE,,6.0,"14,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,6.0,"14,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
56,Válidamente Emitidos,,41.0,"87,23%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
57,Votos Nulos,,1.0,"2,13%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
58,Votos en Blanco,,5.0,"10,64%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
59,Total Votación,,47.0,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,ANTARTICA,ANTARTICA,ESCUELA BASICA VILLA LAS ESTRELLAS,1M-2V-3V
1,AA.CHILE PODEMOS +,,55.0,"50,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,32.0,"29,09%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO),CABO DE HORNOS (NAVARINO),LICEO DONALD MC-INTYRE GRIFFITHS,1M-3M
