,Lista/Pacto,Partido,Votos,Porcentaje,Electo,Region,Distrito,Comuna,Lista Electoral,Local,Mesa
44,CONVERGENCIA SOCIAL,,3.0,"4,35%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,3.0,"4,35%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
50,CANDIDATURA INDEPENDIENTE,,24.0,"34,78%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,24.0,"34,78%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
56,Válidamente Emitidos,,69.0,"93,24%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
57,Votos Nulos,,1.0,"1,35%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
58,Votos en Blanco,,4.0,"5,41%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
59,Total Votación,,74.0,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA,LAGUNA BLANCA,ESCUELA DIEGO PORTALES,5-6
1,AA.CHILE PODEMOS +,,14.0,"11,76%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,4.0,"3,36%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,4.0,"3,36%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
7,UNION DEMOCRATA INDEPENDIENTE,,1.0,"0,84%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
8,11. SANDRA AMAR MANCILLA,IND-UDI,1.0,"0,84%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
11,RENOVACION NACIONAL,,9.0,"7,56%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,9.0,"7,56%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
16,AB.PARTIDO DE LA GENTE,,3.0,"2,52%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
18,PARTIDO DE LA GENTE,,3.0,"2,52%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,2.0,"1,68%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,1.0,"0,84%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
24,AH.NUEVO PACTO SOCIAL,,14.0,"11,76%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
26,PARTIDO DEMOCRATA CRISTIANO,,5.0,"4,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
27,15. NINEN GOMEZ VILLEGAS,PDC,5.0,"4,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
30,PARTIDO SOCIALISTA DE CHILE,,9.0,"7,56%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,9.0,"7,56%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
35,AN.DIGNIDAD AHORA,,2.0,"1,68%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
37,PARTIDO HUMANISTA,,2.0,"1,68%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
38,17. JUAN DEL KARANO MARQUEZ BORQUEZ,IND-PH,2.0,"1,68%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
42,AR.APRUEBO DIGNIDAD,,10.0,"8,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
44,CONVERGENCIA SOCIAL,,10.0,"8,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,4.0,"3,36%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,6.0,"5,04%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
50,CANDIDATURA INDEPENDIENTE,,76.0,"63,87%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,76.0,"63,87%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
56,Válidamente Emitidos,,119.0,"88,81%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
57,Votos Nulos,,1.0,"0,75%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
58,Votos en Blanco,,14.0,"10,45%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
59,Total Votación,,134.0,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,19V
1,AA.CHILE PODEMOS +,,23.0,"19,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,11.0,"9,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,11.0,"9,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
7,UNION DEMOCRATA INDEPENDIENTE,,4.0,"3,33%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
8,11. SANDRA AMAR MANCILLA,IND-UDI,4.0,"3,33%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
11,RENOVACION NACIONAL,,8.0,"6,67%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,8.0,"6,67%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
16,AB.PARTIDO DE LA GENTE,,7.0,"5,83%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
18,PARTIDO DE LA GENTE,,7.0,"5,83%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,4.0,"3,33%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,3.0,"2,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
24,AH.NUEVO PACTO SOCIAL,,6.0,"5,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
26,PARTIDO DEMOCRATA CRISTIANO,,3.0,"2,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
27,15. NINEN GOMEZ VILLEGAS,PDC,3.0,"2,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
30,PARTIDO SOCIALISTA DE CHILE,,3.0,"2,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,3.0,"2,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
35,AN.DIGNIDAD AHORA,,5.0,"4,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
37,PARTIDO HUMANISTA,,5.0,"4,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
38,17. JUAN DEL KARANO MARQUEZ BORQUEZ,IND-PH,5.0,"4,17%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
42,AR.APRUEBO DIGNIDAD,,16.0,"13,33%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
44,CONVERGENCIA SOCIAL,,16.0,"13,33%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,15.0,"12,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,1.0,"0,83%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
50,CANDIDATURA INDEPENDIENTE,,63.0,"52,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,63.0,"52,50%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
56,Válidamente Emitidos,,120.0,"88,89%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
57,Votos Nulos,,4.0,"2,96%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
58,Votos en Blanco,,11.0,"8,15%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
59,Total Votación,,135.0,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,20V
1,AA.CHILE PODEMOS +,,14.0,"15,38%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,3.0,"3,30%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,3.0,"3,30%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
7,UNION DEMOCRATA INDEPENDIENTE,,7.0,"7,69%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
8,11. SANDRA AMAR MANCILLA,IND-UDI,7.0,"7,69%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
11,RENOVACION NACIONAL,,4.0,"4,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,4.0,"4,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
16,AB.PARTIDO DE LA GENTE,,4.0,"4,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
18,PARTIDO DE LA GENTE,,4.0,"4,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
24,AH.NUEVO PACTO SOCIAL,,4.0,"4,40%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
26,PARTIDO DEMOCRATA CRISTIANO,,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
27,15. NINEN GOMEZ VILLEGAS,PDC,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
30,PARTIDO SOCIALISTA DE CHILE,,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,2.0,"2,20%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
35,AN.DIGNIDAD AHORA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
37,PARTIDO HUMANISTA,,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
38,17. JUAN DEL KARANO MARQUEZ BORQUEZ,IND-PH,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
42,AR.APRUEBO DIGNIDAD,,12.0,"13,19%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
44,CONVERGENCIA SOCIAL,,12.0,"13,19%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,6.0,"6,59%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,6.0,"6,59%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
50,CANDIDATURA INDEPENDIENTE,,57.0,"62,64%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,57.0,"62,64%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
56,Válidamente Emitidos,,91.0,"91,92%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
57,Votos Nulos,,1.0,"1,01%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
58,Votos en Blanco,,7.0,"7,07%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
59,Total Votación,,99.0,"100,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,21V
1,AA.CHILE PODEMOS +,,12.0,"15,79%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
3,PARTIDO REGIONALISTA INDEPENDIENTE DEMOCRATA,,3.0,"3,95%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
4,10. JUAN JOSE CLAUDIO ARCOS SRDANOVIC,PRI,3.0,"3,95%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
7,UNION DEMOCRATA INDEPENDIENTE,,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
8,11. SANDRA AMAR MANCILLA,IND-UDI,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
11,RENOVACION NACIONAL,,8.0,"10,53%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
12,12. ALEJANDRO JUAN KUSANOVIC GLUSEVIC,IND-RN,8.0,"10,53%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
16,AB.PARTIDO DE LA GENTE,,2.0,"2,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
18,PARTIDO DE LA GENTE,,2.0,"2,63%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
19,13. JESUS RODRIGO GUTIERREZ OLIVARES,PDG,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
20,14. CARLA DANIELA AMTHAUER GONZALEZ,PDG,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
24,AH.NUEVO PACTO SOCIAL,,5.0,"6,58%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
26,PARTIDO DEMOCRATA CRISTIANO,,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
27,15. NINEN GOMEZ VILLEGAS,PDC,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
30,PARTIDO SOCIALISTA DE CHILE,,4.0,"5,26%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
31,16. MARIA DE LOS ANGELES FLORES RODRIGUEZ,PS,4.0,"5,26%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
35,AN.DIGNIDAD AHORA,,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
37,PARTIDO HUMANISTA,,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
38,17. JUAN DEL KARANO MARQUEZ BORQUEZ,IND-PH,1.0,"1,32%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
42,AR.APRUEBO DIGNIDAD,,7.0,"9,21%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
44,CONVERGENCIA SOCIAL,,7.0,"9,21%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
45,18. LUZ ANDREA BERMUDEZ SANDOVAL,CS,7.0,"9,21%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
46,19. JULIO GASTON CONTRERAS MUÑOZ,IND-CS,0.0,"0,00%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
50,CANDIDATURA INDEPENDIENTE,,49.0,"64,47%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
52,20. KARIM ANTONIO BIANCHI RETAMALES,IND,49.0,"64,47%",,DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,NATALES,NATALES,ESCUELA BAUDILIA AVENDANO DE YOUSSUF,22V
